record_index,address,file_offset,vector_root,direct_call_count,first_opcode
2,0x00009CDD,0x0002181D,False,1,0x90
2,0x0000AD52,0x00022892,False,1,0xAB
2,0x0000AF6E,0x00022AAE,False,4,0x78
2,0x0000B67B,0x000231BB,False,1,0x7B
2,0x0000B795,0x000232D5,False,3,0xEF
2,0x0000B8A8,0x000233E8,False,1,0x90
2,0x0000BC80,0x000237C0,False,1,0x90
2,0x0000BCC6,0x00023806,False,1,0x90
2,0x0000BDD2,0x00023912,False,3,0xE0
2,0x0000BF6F,0x00023AAF,False,1,0xFC
2,0x0000BF76,0x00023AB6,False,3,0xE0
2,0x0000BF83,0x00023AC3,False,1,0x90
2,0x0000BFF1,0x00023B31,False,1,0x30
2,0x0000C00D,0x00023B4D,False,1,0x7F
2,0x0000C02D,0x00023B6D,False,1,0xEB
2,0x0000C037,0x00023B77,False,1,0xD2
2,0x0000C05F,0x00023B9F,False,16,0xAD
2,0x0000C076,0x00023BB6,False,21,0x90
2,0x0000C08C,0x00023BCC,False,4,0x90
2,0x0000C0CD,0x00023C0D,False,1,0x7B
2,0x0000C0F6,0x00023C36,False,1,0x34
2,0x0000C139,0x00023C79,False,4,0xC2
