site,file_offset,target,target_scope,ida_caller,structural_caller,caller_confidence
0x00139150,0x00167150,0x0012D064,main-internal,0x0013913C:sub_13913C,0x0013913C,ida-container
0x00139174,0x00167174,0x0012D064,main-internal,0x0013913C:sub_13913C,0x0013913C,ida-container
0x00139194,0x00167194,0x0012D064,main-internal,0x0013913C:sub_13913C,0x0013913C,ida-container
0x00139710,0x00167710,0x0012D0A8,main-internal,0x001396B4:sub_1396B4,0x001396B4,ida-container
0x00139720,0x00167720,0x0012D0A8,main-internal,0x001396B4:sub_1396B4,0x001396B4,ida-container
0x00139730,0x00167730,0x0012D0A8,main-internal,0x001396B4:sub_1396B4,0x001396B4,ida-container
0x00139744,0x00167744,0x0012D13C,main-internal,0x001396B4:sub_1396B4,0x001396B4,ida-container
0x00139794,0x00167794,0x0012D0A8,main-internal,0x001396B4:sub_1396B4,0x001396B4,ida-container
0x001397A4,0x001677A4,0x0012D0A8,main-internal,0x001396B4:sub_1396B4,0x001396B4,ida-container
0x001397B4,0x001677B4,0x0012D0A8,main-internal,0x001396B4:sub_1396B4,0x001396B4,ida-container
0x001397C4,0x001677C4,0x0012D0A8,main-internal,0x001396B4:sub_1396B4,0x001396B4,ida-container
0x001397D8,0x001677D8,0x0012D13C,main-internal,0x001396B4:sub_1396B4,0x001396B4,ida-container
0x001397EC,0x001677EC,0x0012D13C,main-internal,0x001396B4:sub_1396B4,0x001396B4,ida-container
0x001397FC,0x001677FC,0x0012D0A8,main-internal,0x001396B4:sub_1396B4,0x001396B4,ida-container
0x00139804,0x00167804,0x00136BE4,main-internal,0x001396B4:sub_1396B4,0x001396B4,ida-container
0x00139838,0x00167838,0x001370B4,main-internal,0x001396B4:sub_1396B4,0x001396B4,ida-container
0x00139848,0x00167848,0x001370B4,main-internal,0x001396B4:sub_1396B4,0x001396B4,ida-container
0x00139854,0x00167854,0x001370B4,main-internal,0x001396B4:sub_1396B4,0x001396B4,ida-container
0x00139860,0x00167860,0x001370B4,main-internal,0x001396B4:sub_1396B4,0x001396B4,ida-container
0x00139A2C,0x00167A2C,0x0012D064,main-internal,0x00139A20:sub_139A20,0x00139A20,ida-container
0x00139A44,0x00167A44,0x0012D408,main-internal,0x00139A20:sub_139A20,0x00139A20,ida-container
0x00139B10,0x00167B10,0x0012D298,main-internal,0x00139A20:sub_139A20,0x00139A20,ida-container
0x00139B20,0x00167B20,0x0012D298,main-internal,0x00139A20:sub_139A20,0x00139A20,ida-container
0x00139B2C,0x00167B2C,0x0012D298,main-internal,0x00139A20:sub_139A20,0x00139A20,ida-container
0x00139B88,0x00167B88,0x0012D298,main-internal,0x00139B5C:sub_139B5C,0x00139B5C,ida-container
0x00139B9C,0x00167B9C,0x0012D298,main-internal,0x00139B5C:sub_139B5C,0x00139B5C,ida-container
0x00139BB4,0x00167BB4,0x0012D298,main-internal,0x00139B5C:sub_139B5C,0x00139B5C,ida-container
0x00139BCC,0x00167BCC,0x0012D298,main-internal,0x00139B5C:sub_139B5C,0x00139B5C,ida-container
0x00139BE0,0x00167BE0,0x0012D298,main-internal,0x00139B5C:sub_139B5C,0x00139B5C,ida-container
0x00139BF0,0x00167BF0,0x0012D298,main-internal,0x00139B5C:sub_139B5C,0x00139B5C,ida-container
0x00139BFC,0x00167BFC,0x0012D408,main-internal,0x00139B5C:sub_139B5C,0x00139B5C,ida-container
